what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294062582652
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294062582714
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294062582761
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1294062582761
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294062593634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294062594633
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294062802456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294062806044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294062808447
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1294062808478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294062812409
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294062829257
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1294062831363
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1294062839101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294062840083
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294063177288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294063177319
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294063180454
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1294063180517
