EELSMODEL model file
di 30. okt 09:43:14 2007
FILENAME of HL spectrum:Y:/jo_verbeeck/jv20072610_NA4_round_robin/T3_C3/region2/SI_HL_cal.dm3
NAME of HL spectrum:Y:/jo_verbeeck/jv20072610_NA4_round_robin/T3_C3/region2/SI_HL_cal.dm3 [61]
256
energy	experiment	model	FixedPattern	Ca Hydrogenic L-edge	O Hydrogenic K-edge	Fe Hydrogenic L-edge	Power law background	Ca Fine Structure (DOS) with lifetime (cubic  spline)	O Fine Structure (DOS) with lifetime (cubic  spline)	Fe Fine Structure (DOS) with lifetime (cubic  spline)	Multiple scattering (FFT)
306.50001	4025.6256	3982.4128	6.3051265	0	0	0	3975.9618	0	0	0	0.14583247
307.00001	4007.3248	3957.982	6.8263829	0	0	0	3951.0249	0	0	0	0.13076263
307.50001	4011.8656	3935.1033	8.6927646	0	0	0	3926.2845	0	0	0	0.12605227
308.00001	3968.6592	3909.6276	7.7504291	0	0	0	3901.7389	0	0	0	0.13825032
308.50001	3934.5344	3886.2217	8.678956	0	0	0	3877.3862	0	0	0	0.15660971
309.00001	3905.6384	3861.7259	8.3369939	0	0	0	3853.2245	0	0	0	0.16438066
309.50001	3825.8304	3838.4488	9.042718	0	0	0	3829.2521	0	0	0	0.15402045
310.00001	3797.76	3814.7806	9.1775985	0	0	0	3805.4671	0	0	0	0.13581934
310.50001	3729.0976	3791.7463	9.7565344	0	0	0	3781.8679	0	0	0	0.12188004
311.00001	3679.5616	3768.3445	9.7753108	0	0	0	3758.4527	0	0	0	0.11655516
311.50001	3689.8816	3744.7684	9.4322564	0	0	0	3735.2197	0	0	0	0.11642786
312.00001	3739.28	3721.3672	9.0792391	0	0	0	3712.1672	0	0	0	0.12079366
312.50001	3722.08	3698.1848	8.7565801	0	0	0	3689.2936	0	0	0	0.13467857
313.00001	3688.6432	3675.4463	8.6873338	0	0	0	3666.5971	0	0	0	0.16188134
313.5	3677.6352	3653.0591	8.7885353	0	0	0	3644.0762	0	0	0	0.19441142
314	3610.7616	3630.7605	8.8171197	0	0	0	3621.7291	0	0	0	0.21422854
314.5	3569.4816	3608.5565	8.7911354	0	0	0	3599.5544	0	0	0	0.21096776
315	3585.3056	3586.7458	9.0001041	0	0	0	3577.5503	0	0	0	0.19545177
315.5	3574.5728	3564.6417	8.7341811	0	0	0	3555.7152	0	0	0	0.19224506
316	3598.5152	3542.947	8.6839416	0	0	0	3534.0478	0	0	0	0.21529681
316.5	3560.2624	3521.6501	8.8517697	0	0	0	3512.5463	0	0	0	0.25203165
317	3553.2448	3500.4827	9.0007566	0	0	0	3491.2092	0	0	0	0.27269958
317.5	3545.952	3479.299	9.0029194	0	0	0	3470.0351	0	0	0	0.26105718
318	3480.8672	3457.9937	8.7413271	0	0	0	3449.0224	0	0	0	0.22998638
318.5	3443.0272	3437.1733	8.7954652	0	0	0	3428.1697	0	0	0	0.20822288
319	3430.5056	3416.514	8.8253473	0	0	0	3407.4754	0	0	0	0.21319213
319.5	3398.3072	3395.8651	8.6876189	0	0	0	3386.9382	0	0	0	0.23921241
320	3372.9888	3375.1582	8.3359396	0	0	0	3366.5566	0	0	0	0.26562117
320.5	3329.3696	3354.6619	8.0581057	0	0	0	3346.3292	0	0	0	0.27456772
321	3364.5952	3334.4401	7.9268741	0	0	0	3326.2546	0	0	0	0.25868563
321.5	3264.9728	3314.1388	7.582559	0	0	0	3306.3313	0	0	0	0.22486617
322	3261.2576	3294.4178	7.6685297	0	0	0	3286.5581	0	0	0	0.19111989
322.5	3279.4208	3274.7331	7.6228368	0	0	0	3266.9336	0	0	0	0.17671656
