EELSMODEL model file
Sun Nov 4 18:26:24 2007
FILENAME of HL spectrum:D:/My Documents/EMAT/jv20072610_NA4_round_robin/T3_C3/region2/SI_HL_cal.dm3
NAME of HL spectrum:D:/My Documents/EMAT/jv20072610_NA4_round_robin/T3_C3/region2/SI_HL_cal.dm3 [55]
256
energy	experiment	model	FixedPattern	Ca Hydrogenic L-edge	O Hydrogenic K-edge	Fe Hydrogenic L-edge	Power law background	Ca Fine Structure (DOS) with lifetime (cubic  spline)	O Fine Structure (DOS) with lifetime (cubic  spline)	Fe Fine Structure (DOS) with lifetime (cubic  spline)	Multiple scattering (FFT)
306.50001	3941.4144	3974.261	5.5420857	0	0	0	3968.5737	0	0	0	0.14526217
307.00001	3931.232	3949.7249	6.0002601	0	0	0	3943.5784	0	0	0	0.14626925
307.50001	3860.6432	3926.5615	7.640774	0	0	0	3918.7807	0	0	0	0.14003358
308.00001	3840.9664	3901.129	6.8124791	0	0	0	3894.179	0	0	0	0.13761854
308.50001	3846.0576	3877.5436	7.6286365	0	0	0	3869.7711	0	0	0	0.14384797
309.00001	3862.2944	3853.0351	7.3280583	0	0	0	3845.5555	0	0	0	0.15158188
309.50001	3869.0368	3829.6275	7.9483763	0	0	0	3821.5301	0	0	0	0.14893724
310.00001	3850.5984	3805.8971	8.0669337	0	0	0	3797.6933	0	0	0	0.13687867
310.50001	3827.6192	3782.7424	8.5758073	0	0	0	3774.0432	0	0	0	0.12335616
311.00001	3743.6832	3759.2877	8.5923114	0	0	0	3750.5781	0	0	0	0.11726067
311.50001	3746.9856	3735.7066	8.2907731	0	0	0	3727.2962	0	0	0	0.11957511
312.00001	3681.2128	3712.3055	7.9804777	0	0	0	3704.1959	0	0	0	0.12910956
312.50001	3685.616	3689.1182	7.6968666	0	0	0	3681.2754	0	0	0	0.14596312
313.00001	3700.752	3666.3409	7.6360004	0	0	0	3658.5329	0	0	0	0.17195682
313.5	3641.1712	3643.8925	7.7249546	0	0	0	3635.967	0	0	0	0.20058145
314	3607.4592	3621.5432	7.7500798	0	0	0	3613.5759	0	0	0	0.21727495
314.5	3573.6096	3599.2967	7.72724	0	0	0	3591.3579	0	0	0	0.21156137
315	3523.6608	3577.4156	7.9109196	0	0	0	3569.3116	0	0	0	0.19313009
315.5	3575.6736	3555.2998	7.6771783	0	0	0	3547.4352	0	0	0	0.18747339
316	3498.2048	3533.5726	7.6330187	0	0	0	3525.7272	0	0	0	0.21237454
316.5	3463.392	3512.2222	7.7805364	0	0	0	3504.1861	0	0	0	0.25559673
317	3532.88	3491.0032	7.9114931	0	0	0	3482.8102	0	0	0	0.28150754
317.5	3512.7904	3469.7778	7.9133941	0	0	0	3461.5982	0	0	0	0.26618317
318	3488.4352	3448.4562	7.6834595	0	0	0	3440.5484	0	0	0	0.22436893
318.5	3445.0912	3427.5873	7.7310459	0	0	0	3419.6594	0	0	0	0.19684826
319	3407.664	3406.8977	7.7573116	0	0	0	3398.9297	0	0	0	0.210756
319.5	3395.5552	3386.2487	7.636251	0	0	0	3378.3578	0	0	0	0.25463258
320	3344.0928	3365.5586	7.3271316	0	0	0	3357.9423	0	0	0	0.28920803
320.5	3326.0672	3345.0499	7.0829209	0	0	0	3337.6817	0	0	0	0.285199
321	3321.664	3324.7867	6.9675709	0	0	0	3317.5747	0	0	0	0.2444273
321.5	3284.3744	3304.4811	6.6649244	0	0	0	3297.6199	0	0	0	0.1962686
322	3295.52	3284.7282	6.740491	0	0	0	3277.8158	0	0	0	0.17194049
322.5	3263.3216	3265.0444	6.7003279	0	0	0	3258.1611	0	0	0	0.18305429
323	3306.1152	3245.5811	6.7121299	0	0	0	3238.6544	0	0	0	0.2146281
323.5	3263.5968	3226.2897	6.7576235	0	0	0	3219.2944	0	0	0	0.23773027
324	3199.7504	3207.198	6.8859147	0	0	0	3200.0798	0	0	0	0.232313
324.5	3153.9296	3188.1609	6.9491086	0	0	0	3181.0092	0	0	0	0.20259715
325	3106.8704	3168.9687	6.7121298	0	0	0	3162.0813	0	0	0	0.17526074
325.5	3186.2656	3150.2182	6.7524835	0	0	0	3143.295	0	0	0	0.17071188
326	3219.0144	3131.8206	6.9845142	0	0	0	3124.6488	0	0	0	0.18730524
326.5	3149.3888	3113.6246	7.2770722	0	0	0	3106.1415	0	0	0	0.20601646
327	3147.4624	3095.1908	7.2064547	0	0	0	3087.772	0	0	0	0.21234594
327.5	3105.4944	3076.859	7.1097614	0	0	0	3069.5389	0	0	0	0.21033245
328	3116.9152	3059.0511	7.3943255	0	0	0	3051.441	0	0	0	0.21579403
328.5	3055.9584	3041.0722	7.3596833	0	0	0	3033.4772	0	0	0	0.23533919
329	2989.0848	3023.221	7.3126668	0	0	0	3015.6462	0	0	0	0.2621627
329.5	2960.7392	3005.5132	7.2812619	0	0	0	2997.9468	0	0	0	0.28512538
330	2978.352	2988.1946	7.5176695	0	0	0	2980.3779	0	0	0	0.29903569
330.5	2995.552	2970.9504	7.7085849	0	0	0	2962.9384	0	0	0	0.30346168
331	2948.3552	2953.6725	7.743418	0	0	0	2945.627	0	0	0	0.30207097
331.5	2936.7968	2936.6513	7.9067336	0	0	0	2928.4427	0	0	0	0.30183452
332	2912.992	2919.6405	7.9444236	0	0	0	2911.3843	0	0	0	0.31180358
332.5	2903.36	2903.0244	8.2386952	0	0	0	2894.4507	0	0	0	0.33500142
333	2909.2768	2886.223	8.2192809	0	0	0	2877.6408	0	0	0	0.36289233
333.5	2859.6032	2869.8635	8.5293534	0	0	0	2860.9536	0	0	0	0.38052653
334	2864.144	2853.741	8.9711428	0	0	0	2844.3879	0	0	0	0.38193585
334.5	2810.48	2837.3476	9.0295783	0	0	0	2827.9427	0	0	0	0.37528685
335	2778.6944	2821.407	9.418072	0	0	0	2811.6169	0	0	0	0.37199988
335.5	2743.056	2805.7043	9.9182991	0	0	0	2795.4095	0	0	0	0.37644445
336	2727.6448	2789.8126	10.107501	0	0	0	2779.3195	0	0	0	0.38562547
336.5	2752.8256	2774.0983	10.350762	0	0	0	2763.3458	0	0	0	0.40170285
