EELSMODEL model file
do 16. jun 14:55:45 2005
FILENAME of HL spectrum:C:/Program Files/eelsmodel_1_1/eelsmodel_release_1_1/eelsmodel/SrTiO3_example/hl.msa
NAME of HL spectrum:hl
256
energy	experiment	model	Power law background	Ti L23	O K	Multiple scattering (matrix convolution)	DOS O	DOS Ti
357.5	29218.7	30448.36	30448.36	0	0	0	0	0
357.8	29620.731	30368.546	30368.546	0	0	0	0	0
358.1	29666.753	30289.007	30289.007	0	0	0	0	0
358.4	29559.695	30209.743	30209.743	0	0	0	0	0
358.7	29329.825	30130.753	30130.753	0	0	0	0	0
359	29227.725	30052.035	30052.035	0	0	0	0	0
359.3	29195.56	29973.588	29973.588	0	0	0	0	0
359.6	29149.663	29895.411	29895.411	0	0	0	0	0
359.9	29100.837	29817.503	29817.503	0	0	0	0	0
360.2	28946.485	29739.863	29739.863	0	0	0	0	0
360.5	28974.84	29662.489	29662.489	0	0	0	0	0
360.8	28753.488	29585.381	29585.381	0	0	0	0	0
361.1	28554.635	29508.537	29508.537	0	0	0	0	0
361.4	28697.667	29431.956	29431.956	0	0	0	0	0
361.7	28701.361	29355.637	29355.637	0	0	0	0	0
362	28694.107	29279.579	29279.579	0	0	0	0	0
362.3	28455.587	29203.781	29203.781	0	0	0	0	0
362.6	28323.111	29128.242	29128.242	0	0	0	0	0
362.9	28344.337	29052.96	29052.96	0	0	0	0	0
363.2	28400.407	28977.935	28977.935	0	0	0	0	0
363.5	28392.531	28903.165	28903.165	0	0	0	0	0
363.8	28363.917	28828.649	28828.649	0	0	0	0	0
364.1	28363.027	28754.387	28754.387	0	0	0	0	0
364.4	28246.82	28680.377	28680.377	0	0	0	0	0
364.7	28202.827	28606.618	28606.618	0	0	0	0	0
365	28195.458	28533.11	28533.11	0	0	0	0	0
365.3	28293.225	28459.85	28459.85	0	0	0	0	0
365.6	28294.497	28386.839	28386.839	0	0	0	0	0
365.9	28212.11	28314.074	28314.074	0	0	0	0	0
366.2	28210.588	28241.555	28241.555	0	0	0	0	0
366.5	28112.047	28169.281	28169.281	0	0	0	0	0
366.8	28016.951	28097.252	28097.252	0	0	0	0	0
367.1	27948.545	28025.464	28025.464	0	0	0	0	0
367.4	27998.261	27953.919	27953.919	0	0	0	0	0
367.7	27933.798	27882.615	27882.615	0	0	0	0	0
368	27989.361	27811.55	27811.55	0	0	0	0	0
368.3	27781.857	27740.724	27740.724	0	0	0	0	0
368.6	27702.523	27670.136	27670.136	0	0	0	0	0
368.9	27587.33	27599.785	27599.785	0	0	0	0	0
369.2	27507.737	27529.67	27529.67	0	0	0	0	0
369.5	27557.711	27459.789	27459.789	0	0	0	0	0
369.8	27601.953	27390.143	27390.143	0	0	0	0	0
370.1	27423.187	27320.729	27320.729	0	0	0	0	0
370.4	27307.87	27251.547	27251.547	0	0	0	0	0
370.7	27223.703	27182.596	27182.596	0	0	0	0	0
371	27135.851	27113.875	27113.875	0	0	0	0	0
371.3	27117.027	27045.384	27045.384	0	0	0	0	0
371.6	26961.785	26977.12	26977.12	0	0	0	0	0
371.9	26793.325	26909.084	26909.084	0	0	0	0	0
372.2	26660.965	26841.274	26841.274	0	0	0	0	0
372.5	26525.177	26773.689	26773.689	0	0	0	0	0
372.8	26414.951	26706.328	26706.328	0	0	0	0	0
373.1	26475.595	26639.191	26639.191	0	0	0	0	0
373.4	26513.607	26572.277	26572.277	0	0	0	0	0
373.7	26513.99	26505.584	26505.584	0	0	0	0	0
374	26388.883	26439.112	26439.112	0	0	0	0	0
374.3	26167.655	26372.86	26372.86	0	0	0	0	0
374.6	26018.901	26306.826	26306.826	0	0	0	0	0
374.9	25980.115	26241.011	26241.011	0	0	0	0	0
375.2	25999.063	26175.412	26175.412	0	0	0	0	0
375.5	25861.237	26110.03	26110.03	0	0	0	0	0
375.8	25823.35	26044.863	26044.863	0	0	0	0	0
376.1	25665.695	25979.911	25979.911	0	0	0	0	0
376.4	25627.301	25915.172	25915.172	0	0	0	0	0
376.7	25603.645	25850.646	25850.646	0	0	0	0	0
377	25640.775	25786.332	25786.332	0	0	0	0	0
377.3	25705.238	25722.229	25722.229	0	0	0	0	0
377.6	25641.283	25658.336	25658.336	0	0	0	0	0
377.9	25578.351	25594.652	25594.652	0	0	0	0	0
378.2	25540.588	25531.176	25531.176	0	0	0	0	0
378.5	25341.611	25467.908	25467.908	0	0	0	0	0
378.8	25134.241	25404.847	25404.847	0	0	0	0	0
379.1	25024.13	25341.992	25341.992	0	0	0	0	0
379.4	24955.217	25279.342	25279.342	0	0	0	0	0
379.7	24953.055	25216.896	25216.896	0	0	0	0	0
380	24981.285	25154.653	25154.653	0	0	0	0	0
380.3	24866.475	25092.613	25092.613	0	0	0	0	0
380.6	24857.958	25030.775	25030.775	0	0	0	0	0
380.9	24908.937	24969.137	24969.137	0	0	0	0	0
381.2	24825.277	24907.7	24907.7	0	0	0	0	0
381.5	24679.451	24846.462	24846.462	0	0	0	0	0
