EELSMODEL report file
Wed 6. Feb 10:40:48 2008
FILENAME of HL spectrum:C:/EELSMODELoriginal/Examples/fittertest/uncorrelated_1e3.dm3
NAME of HL spectrum:C:/EELSMODELoriginal/Examples/fittertest/uncorrelated_1e3.dm3 [199]
Detector used:ideal detector
Detector gain:1.00000000e+000
Detector correlation factor:1.00000000e+000

List of components and their parameters
FITTER settings were

FITTERTYPE:Levenberg Marquardt
FRACTION:1.00000000e-003
MAXSTEP:1.00000000e+099
MINSTEP:1.00000000e-099
TOLERANCE:1.00000000e-010
USEGRADIENTS:1
Lorentz: Emax	free/locked	sigma 	Lorentz: FWHM	free/locked	sigma 	Lorentz: Height	free/locked	sigma 	Line: A	free/locked	sigma 	Line: B	free/locked	sigma 	goodness_of_fit	LRtestconfidence	
1.27020174e+002	free	4.07098868e-002	1.01624112e+001	free	1.10663899e-001	3.17501853e+003	free	2.93995911e+001	8.06160644e+002	free	2.09802271e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.625649e-001	The model is accepted at a confidence level of: 65.386407 percent
1.26902069e+002	free	4.05451975e-002	1.01394153e+001	free	1.10173423e-001	3.18869870e+003	free	2.94795964e+001	8.06014241e+002	free	2.09729013e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.309116e-001	The model is accepted at a confidence level of: 77.764248 percent
1.26990091e+002	free	4.02690120e-002	1.00781663e+001	free	1.09353479e-001	3.20835629e+003	free	2.96439359e+001	8.07529744e+002	free	2.09734833e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.000290e+000	The model is accepted at a confidence level of: 48.685349 percent
1.27003206e+002	free	3.96421719e-002	9.90830686e+000	free	1.07474887e-001	3.24426221e+003	free	3.00274042e+001	8.08844028e+002	free	2.09360370e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.997440e-001	The model is accepted at a confidence level of: 48.929860 percent
1.26975743e+002	free	4.01776855e-002	1.00363882e+001	free	1.09064039e-001	3.20752313e+003	free	2.96945190e+001	8.05798633e+002	free	2.09373345e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.110785e+000	The model is accepted at a confidence level of: 10.938121 percent
1.26985005e+002	free	4.02439962e-002	1.01037433e+001	free	1.09293525e-001	3.21839242e+003	free	2.96457504e+001	8.08511311e+002	free	2.09964714e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.569311e-001	The model is accepted at a confidence level of: 67.751384 percent
1.27008492e+002	free	3.96300068e-002	9.93118946e+000	free	1.07445456e-001	3.25118023e+003	free	3.00162617e+001	8.08691214e+002	free	2.09435656e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.351847e-001	The model is accepted at a confidence level of: 76.239442 percent
1.27037618e+002	free	4.02259566e-002	1.00888035e+001	free	1.09228326e-001	3.21550825e+003	free	2.96509410e+001	8.07047620e+002	free	2.09727153e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.471942e-001	The model is accepted at a confidence level of: 71.690654 percent
1.27003026e+002	free	3.99725087e-002	1.00015759e+001	free	1.08462605e-001	3.22557767e+003	free	2.98170892e+001	8.07611406e+002	free	2.09505677e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.005397e+000	The model is accepted at a confidence level of: 46.408013 percent
1.26942036e+002	free	3.93866129e-002	9.83879083e+000	free	1.06708014e-001	3.25864152e+003	free	3.01834917e+001	8.08926413e+002	free	2.09150545e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.031463e+000	The model is accepted at a confidence level of: 35.228418 percent
1.27017706e+002	free	4.00135661e-002	1.00717365e+001	free	1.08583670e-001	3.23341201e+003	free	2.97223836e+001	8.03636407e+002	free	2.09282624e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.252120e+000	The model is accepted at a confidence level of: 0.401092 percent
1.26998269e+002	free	4.07647798e-002	1.02515541e+001	free	1.10834495e-001	3.18563462e+003	free	2.92920775e+001	8.02529271e+002	free	2.09693145e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.029970e-001	The model is accepted at a confidence level of: 86.351580 percent
1.26961730e+002	free	4.04553152e-002	1.01108415e+001	free	1.09905592e-001	3.19339255e+003	free	2.95412315e+001	8.06858931e+002	free	2.09740160e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.136856e+000	The model is accepted at a confidence level of: 6.672732 percent
1.26974807e+002	free	3.98222658e-002	9.90627838e+000	free	1.07990913e-001	3.22003336e+003	free	2.99373974e+001	8.06982959e+002	free	2.09081138e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.178765e+000	The model is accepted at a confidence level of: 2.696223 percent
1.26980818e+002	free	4.07452459e-002	1.01285721e+001	free	1.10773059e-001	3.16622468e+003	free	2.94322726e+001	8.09295993e+002	free	2.10049294e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.023922e+000	The model is accepted at a confidence level of: 38.359335 percent
1.26985896e+002	free	3.96184674e-002	9.93386428e+000	free	1.07404218e-001	3.25160349e+003	free	3.00063305e+001	8.07084082e+002	free	2.09249678e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.801436e-001	The model is accepted at a confidence level of: 57.715866 percent
1.26977276e+002	free	3.95365147e-002	9.89154556e+000	free	1.07129941e-001	3.24693112e+003	free	3.00343294e+001	8.02823593e+002	free	2.08570151e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.109857e+000	The model is accepted at a confidence level of: 11.120999 percent
1.26994650e+002	free	3.99415926e-002	9.96102619e+000	free	1.08367055e-001	3.22097364e+003	free	2.98679591e+001	8.09023596e+002	free	2.09525848e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.675058e-001	The model is accepted at a confidence level of: 63.269182 percent
1.27045391e+002	free	3.97617823e-002	9.90253268e+000	free	1.07836750e-001	3.23108823e+003	free	3.00027361e+001	8.11566099e+002	free	2.09647393e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.081312e+000	The model is accepted at a confidence level of: 17.915181 percent
1.26957972e+002	free	3.97333874e-002	9.97826418e+000	free	1.07753261e-001	3.24830961e+003	free	2.99280424e+001	8.07024670e+002	free	2.09393753e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.005189e+000	The model is accepted at a confidence level of: 46.500401 percent
1.26942006e+002	free	4.09640157e-002	1.02395955e+001	free	1.11427442e-001	3.16233720e+003	free	2.92397485e+001	8.04986244e+002	free	2.09907288e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.836526e-001	The model is accepted at a confidence level of: 56.149732 percent
1.27035755e+002	free	3.98665036e-002	1.00623499e+001	free	1.08154688e-001	3.24975884e+003	free	2.97962497e+001	8.04407401e+002	free	2.09374653e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.098714e+000	The model is accepted at a confidence level of: 13.500672 percent
1.26912453e+002	free	4.02035751e-002	9.97467778e+000	free	1.09129725e-001	3.19154806e+003	free	2.97382467e+001	8.07558644e+002	free	2.09340184e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.012794e+000	The model is accepted at a confidence level of: 43.145435 percent
1.27022205e+002	free	3.97865428e-002	9.94340139e+000	free	1.07887162e-001	3.23126297e+003	free	2.99114031e+001	8.04941655e+002	free	2.08983779e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.885812e-001	The model is accepted at a confidence level of: 53.940584 percent
1.27021550e+002	free	3.95300514e-002	9.91682977e+000	free	1.07144197e-001	3.25897125e+003	free	3.00606726e+001	8.07751156e+002	free	2.09284390e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.091629e+000	The model is accepted at a confidence level of: 15.193315 percent
1.26990201e+002	free	3.99629568e-002	1.00492822e+001	free	1.08433216e-001	3.23502242e+003	free	2.97650055e+001	8.04505788e+002	free	2.09312558e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.274363e-001	The model is accepted at a confidence level of: 97.887535 percent
1.26936871e+002	free	3.94908980e-002	9.88543618e+000	free	1.07024710e-001	3.25693510e+003	free	3.01049463e+001	8.08585728e+002	free	2.09271149e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.025392e+000	The model is accepted at a confidence level of: 37.741098 percent
1.26952751e+002	free	3.96331384e-002	9.87877891e+000	free	1.07440930e-001	3.23841261e+003	free	3.00528643e+001	8.09100381e+002	free	2.09276227e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.452215e-001	The model is accepted at a confidence level of: 96.454068 percent
1.26975482e+002	free	3.99892942e-002	9.94431863e+000	free	1.08497756e-001	3.21052874e+003	free	2.98533117e+001	8.08326232e+002	free	2.09362074e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.062193e+000	The model is accepted at a confidence level of: 23.770676 percent
1.26905659e+002	free	3.96374816e-002	9.93937419e+000	free	1.07459953e-001	3.25032784e+003	free	2.99922958e+001	8.06797668e+002	free	2.09231823e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.183971e+000	The model is accepted at a confidence level of: 2.386498 percent
1.26960832e+002	free	3.95699946e-002	9.92496772e+000	free	1.07253477e-001	3.25410545e+003	free	3.00227415e+001	8.05846413e+002	free	2.09071518e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.454288e-001	The model is accepted at a confidence level of: 72.382169 percent
1.26988543e+002	free	3.95421103e-002	9.84504910e+000	free	1.07151370e-001	3.23857990e+003	free	3.00925806e+001	8.06473995e+002	free	2.08836730e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.129247e+000	The model is accepted at a confidence level of: 7.751139 percent
1.26996851e+002	free	3.99252638e-002	9.99665879e+000	free	1.08328853e-001	3.23124173e+003	free	2.98492793e+001	8.08747911e+002	free	2.09637697e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.128940e+000	The model is accepted at a confidence level of: 7.797424 percent
1.27084635e+002	free	3.98899919e-002	9.96644509e+000	free	1.08216046e-001	3.22813616e+003	free	2.98831892e+001	8.08674301e+002	free	2.09515794e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.030852e+000	The model is accepted at a confidence level of: 35.478260 percent
1.27007105e+002	free	3.93825543e-002	9.90319900e+000	free	1.06705968e-001	3.27320071e+003	free	3.01278131e+001	8.07120063e+002	free	2.09185223e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.010563e+000	The model is accepted at a confidence level of: 44.123797 percent
1.26926553e+002	free	3.99188872e-002	9.95872601e+000	free	1.08292365e-001	3.22166559e+003	free	2.98671016e+001	8.07564654e+002	free	2.09340801e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.454604e-001	The model is accepted at a confidence level of: 72.369859 percent
1.27032551e+002	free	4.01418512e-002	9.98897925e+000	free	1.08946119e-001	3.20080736e+003	free	2.97427069e+001	8.06117909e+002	free	2.09232014e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.826652e-001	The model is accepted at a confidence level of: 91.027208 percent
1.27030619e+002	free	3.97184315e-002	9.88789608e+000	free	1.07699492e-001	3.23156980e+003	free	3.00210557e+001	8.10376017e+002	free	2.09451430e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.593046e-001	The model is accepted at a confidence level of: 94.845441 percent
1.27030577e+002	free	4.00998580e-002	1.00594926e+001	free	1.08847254e-001	3.22302636e+003	free	2.97174804e+001	8.06492192e+002	free	2.09569400e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.545109e-001	The model is accepted at a confidence level of: 68.749160 percent
1.27009075e+002	free	3.95172636e-002	9.84529959e+000	free	1.07097705e-001	3.24540563e+003	free	3.01328942e+001	8.10125597e+002	free	2.09295516e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.509512e-001	The model is accepted at a confidence level of: 70.194911 percent
1.26933556e+002	free	4.01563138e-002	1.00075417e+001	free	1.09005405e-001	3.20568926e+003	free	2.97420514e+001	8.08260415e+002	free	2.09568785e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.204552e+000	The model is accepted at a confidence level of: 1.443948 percent
1.26973396e+002	free	3.97225981e-002	9.98892220e+000	free	1.07720317e-001	3.25129880e+003	free	2.99183876e+001	8.06128486e+002	free	2.09327573e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.792798e-001	The model is accepted at a confidence level of: 91.678908 percent
