EELSMODEL report file
Wed 6. Feb 10:41:15 2008
FILENAME of HL spectrum:C:/EELSMODELoriginal/Examples/fittertest/uncorrelated_1e3.dm3
NAME of HL spectrum:C:/EELSMODELoriginal/Examples/fittertest/uncorrelated_1e3.dm3 [199]
Detector used:ideal detector
Detector gain:1.00000000e+000
Detector correlation factor:1.00000000e+000

List of components and their parameters
FITTER settings were

FITTERTYPE:Levenberg Marquardt
FRACTION:1.00000000e-003
MAXSTEP:1.00000000e+099
MINSTEP:1.00000000e-099
TOLERANCE:1.00000000e-010
USEGRADIENTS:0
Lorentz: Emax	free/locked	sigma 	Lorentz: FWHM	free/locked	sigma 	Lorentz: Height	free/locked	sigma 	Line: A	free/locked	sigma 	Line: B	free/locked	sigma 	goodness_of_fit	LRtestconfidence	
1.27020174e+002	free	1.#QNAN000e+000	1.01624112e+001	free	1.#QNAN000e+000	3.17501852e+003	free	1.#QNAN000e+000	8.06160645e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.625649e-001	The model is accepted at a confidence level of: 65.386407 percent
1.26902069e+002	free	1.#QNAN000e+000	1.01394153e+001	free	1.#QNAN000e+000	3.18869871e+003	free	1.#QNAN000e+000	8.06014240e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.309116e-001	The model is accepted at a confidence level of: 77.764248 percent
1.26990091e+002	free	1.#QNAN000e+000	1.00781663e+001	free	1.#QNAN000e+000	3.20835630e+003	free	1.#QNAN000e+000	8.07529744e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.000290e+000	The model is accepted at a confidence level of: 48.685349 percent
1.27003206e+002	free	1.#QNAN000e+000	9.90830686e+000	free	1.#QNAN000e+000	3.24426221e+003	free	1.#QNAN000e+000	8.08844028e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.997440e-001	The model is accepted at a confidence level of: 48.929860 percent
1.26975743e+002	free	1.#QNAN000e+000	1.00363882e+001	free	1.#QNAN000e+000	3.20752312e+003	free	1.#QNAN000e+000	8.05798633e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.110785e+000	The model is accepted at a confidence level of: 10.938121 percent
1.26985005e+002	free	1.#QNAN000e+000	1.01037433e+001	free	1.#QNAN000e+000	3.21839242e+003	free	1.#QNAN000e+000	8.08511311e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.569311e-001	The model is accepted at a confidence level of: 67.751384 percent
1.27008492e+002	free	1.#QNAN000e+000	9.93118949e+000	free	1.#QNAN000e+000	3.25118023e+003	free	1.#QNAN000e+000	8.08691213e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.351847e-001	The model is accepted at a confidence level of: 76.239442 percent
1.27037618e+002	free	1.#QNAN000e+000	1.00888035e+001	free	1.#QNAN000e+000	3.21550825e+003	free	1.#QNAN000e+000	8.07047620e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.471942e-001	The model is accepted at a confidence level of: 71.690654 percent
1.27003026e+002	free	1.#QNAN000e+000	1.00015759e+001	free	1.#QNAN000e+000	3.22557768e+003	free	1.#QNAN000e+000	8.07611406e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.005397e+000	The model is accepted at a confidence level of: 46.408013 percent
1.26942036e+002	free	1.#QNAN000e+000	9.83879083e+000	free	1.#QNAN000e+000	3.25864153e+003	free	1.#QNAN000e+000	8.08926412e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.031463e+000	The model is accepted at a confidence level of: 35.228418 percent
1.27017706e+002	free	1.#QNAN000e+000	1.00717365e+001	free	1.#QNAN000e+000	3.23341200e+003	free	1.#QNAN000e+000	8.03636407e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.252120e+000	The model is accepted at a confidence level of: 0.401092 percent
1.26998269e+002	free	1.#QNAN000e+000	1.02515541e+001	free	1.#QNAN000e+000	3.18563461e+003	free	1.#QNAN000e+000	8.02529271e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.029970e-001	The model is accepted at a confidence level of: 86.351580 percent
1.26961730e+002	free	1.#QNAN000e+000	1.01108415e+001	free	1.#QNAN000e+000	3.19339256e+003	free	1.#QNAN000e+000	8.06858930e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.136856e+000	The model is accepted at a confidence level of: 6.672732 percent
1.26974807e+002	free	1.#QNAN000e+000	9.90627838e+000	free	1.#QNAN000e+000	3.22003336e+003	free	1.#QNAN000e+000	8.06982959e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.178765e+000	The model is accepted at a confidence level of: 2.696223 percent
1.26980818e+002	free	1.#QNAN000e+000	1.01285721e+001	free	1.#QNAN000e+000	3.16622467e+003	free	1.#QNAN000e+000	8.09295993e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.023922e+000	The model is accepted at a confidence level of: 38.359335 percent
1.26985896e+002	free	1.#QNAN000e+000	9.93386428e+000	free	1.#QNAN000e+000	3.25160349e+003	free	1.#QNAN000e+000	8.07084082e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.801436e-001	The model is accepted at a confidence level of: 57.715866 percent
1.26977276e+002	free	1.#QNAN000e+000	9.89154561e+000	free	1.#QNAN000e+000	3.24693110e+003	free	1.#QNAN000e+000	8.02823592e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.109857e+000	The model is accepted at a confidence level of: 11.120999 percent
1.26994650e+002	free	1.#QNAN000e+000	9.96102616e+000	free	1.#QNAN000e+000	3.22097364e+003	free	1.#QNAN000e+000	8.09023596e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.675058e-001	The model is accepted at a confidence level of: 63.269182 percent
1.27045391e+002	free	1.#QNAN000e+000	9.90253272e+000	free	1.#QNAN000e+000	3.23108823e+003	free	1.#QNAN000e+000	8.11566098e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.081312e+000	The model is accepted at a confidence level of: 17.915181 percent
1.26957972e+002	free	1.#QNAN000e+000	9.97826421e+000	free	1.#QNAN000e+000	3.24830960e+003	free	1.#QNAN000e+000	8.07024670e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.005189e+000	The model is accepted at a confidence level of: 46.500401 percent
1.26942006e+002	free	1.#QNAN000e+000	1.02395955e+001	free	1.#QNAN000e+000	3.16233720e+003	free	1.#QNAN000e+000	8.04986244e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.836526e-001	The model is accepted at a confidence level of: 56.149732 percent
1.27035755e+002	free	1.#QNAN000e+000	1.00623499e+001	free	1.#QNAN000e+000	3.24975884e+003	free	1.#QNAN000e+000	8.04407400e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.098714e+000	The model is accepted at a confidence level of: 13.500672 percent
1.26912453e+002	free	1.#QNAN000e+000	9.97467782e+000	free	1.#QNAN000e+000	3.19154805e+003	free	1.#QNAN000e+000	8.07558643e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.012794e+000	The model is accepted at a confidence level of: 43.145435 percent
1.27022205e+002	free	1.#QNAN000e+000	9.94340139e+000	free	1.#QNAN000e+000	3.23126297e+003	free	1.#QNAN000e+000	8.04941655e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.885812e-001	The model is accepted at a confidence level of: 53.940584 percent
1.27021550e+002	free	1.#QNAN000e+000	9.91682977e+000	free	1.#QNAN000e+000	3.25897125e+003	free	1.#QNAN000e+000	8.07751156e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.091629e+000	The model is accepted at a confidence level of: 15.193315 percent
1.26990201e+002	free	1.#QNAN000e+000	1.00492822e+001	free	1.#QNAN000e+000	3.23502242e+003	free	1.#QNAN000e+000	8.04505788e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.274363e-001	The model is accepted at a confidence level of: 97.887535 percent
1.26936871e+002	free	1.#QNAN000e+000	9.88543616e+000	free	1.#QNAN000e+000	3.25693512e+003	free	1.#QNAN000e+000	8.08585728e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.025392e+000	The model is accepted at a confidence level of: 37.741098 percent
1.26952751e+002	free	1.#QNAN000e+000	9.87877891e+000	free	1.#QNAN000e+000	3.23841260e+003	free	1.#QNAN000e+000	8.09100381e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.452215e-001	The model is accepted at a confidence level of: 96.454068 percent
1.26975482e+002	free	1.#QNAN000e+000	9.94431863e+000	free	1.#QNAN000e+000	3.21052874e+003	free	1.#QNAN000e+000	8.08326232e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.062193e+000	The model is accepted at a confidence level of: 23.770676 percent
1.26905659e+002	free	1.#QNAN000e+000	9.93937419e+000	free	1.#QNAN000e+000	3.25032785e+003	free	1.#QNAN000e+000	8.06797668e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.183971e+000	The model is accepted at a confidence level of: 2.386498 percent
1.26960832e+002	free	1.#QNAN000e+000	9.92496770e+000	free	1.#QNAN000e+000	3.25410546e+003	free	1.#QNAN000e+000	8.05846413e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.454288e-001	The model is accepted at a confidence level of: 72.382169 percent
1.26988543e+002	free	1.#QNAN000e+000	9.84504904e+000	free	1.#QNAN000e+000	3.23857993e+003	free	1.#QNAN000e+000	8.06473995e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.129247e+000	The model is accepted at a confidence level of: 7.751139 percent
1.26996851e+002	free	1.#QNAN000e+000	9.99665879e+000	free	1.#QNAN000e+000	3.23124173e+003	free	1.#QNAN000e+000	8.08747911e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.128940e+000	The model is accepted at a confidence level of: 7.797424 percent
1.27084635e+002	free	1.#QNAN000e+000	9.96644510e+000	free	1.#QNAN000e+000	3.22813617e+003	free	1.#QNAN000e+000	8.08674301e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.030852e+000	The model is accepted at a confidence level of: 35.478260 percent
1.27007105e+002	free	1.#QNAN000e+000	9.90319900e+000	free	1.#QNAN000e+000	3.27320072e+003	free	1.#QNAN000e+000	8.07120062e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 1.010563e+000	The model is accepted at a confidence level of: 44.123797 percent
1.26926553e+002	free	1.#QNAN000e+000	9.95872601e+000	free	1.#QNAN000e+000	3.22166558e+003	free	1.#QNAN000e+000	8.07564654e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.454604e-001	The model is accepted at a confidence level of: 72.369859 percent
1.27032551e+002	free	1.#QNAN000e+000	9.98897925e+000	free	1.#QNAN000e+000	3.20080735e+003	free	1.#QNAN000e+000	8.06117909e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.826652e-001	The model is accepted at a confidence level of: 91.027208 percent
1.27030619e+002	free	1.#QNAN000e+000	9.88789608e+000	free	1.#QNAN000e+000	3.23156980e+003	free	1.#QNAN000e+000	8.10376017e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 8.593046e-001	The model is accepted at a confidence level of: 94.845441 percent
1.27030577e+002	free	1.#QNAN000e+000	1.00594926e+001	free	1.#QNAN000e+000	3.22302636e+003	free	1.#QNAN000e+000	8.06492192e+002	free	1.#QNAN000e+000	0.00000000e+000	locked	0.00000000e+000	Likelyhood merrit function (similar to chisq/dof): 9.545109e-001	The model is accepted at a confidence level of: 68.749160 percent
